,id,entrydate,name,symbol,sector,position,entryprice,entrylots,entryrisk,entryrisk_ticks,commission,#exits,exit(0)_date,exit(0)_price,exit(0)_lots,exit(0)_profit,exit(0)_profit_ticks,exit(0)_duration,exit(0)_type,exitdate,profit,profit_ticks,duration,result,currentprice,stopprice,risk,risk_ticks,lots,flame,on_fire
55,56,2003-01-13,CBOT Soybean Oil,BO,grain,Long,39.1700048828125,2,252.0,21,5.98,1,2003-01-13,38.959999084472656,2.0,-252.0,-21.0,0.0,stop,2003-01-13,-252.0,-21,0.0,LOSE,38.959999084472656,38.959999084472656,0.0,0,0,-0.0,False
56,57,2003-01-14,CBOT Soybean Oil,BO,grain,Long,39.220001220703125,2,540.0,45,5.98,1,2003-01-14,38.77000427246094,2.0,-540.0,-45.0,0.0,stop,2003-01-14,-540.0,-45,0.0,LOSE,38.77000427246094,38.77000427246094,0.0,0,0,-0.0,False
57,58,2003-01-15,CBOT Soybean Oil,BO,grain,Long,38.6900048828125,2,216.0,18,5.98,1,2003-01-15,38.51000213623047,2.0,-216.0,-18.0,0.0,stop,2003-01-15,-216.0,-18,0.0,LOSE,38.51000213623047,38.51000213623047,0.0,0,0,-0.0,False
58,59,2003-01-16,CBOT Soybean Oil,BO,grain,Long,38.60000183105469,2,300.0,25,5.98,1,2003-01-16,38.350006103515625,2.0,-300.0,-25.0,0.0,stop,2003-01-16,-300.0,-25,0.0,LOSE,38.350006103515625,38.350006103515625,0.0,0,0,-0.0,False
59,60,2003-01-17,CBOT Soybean Oil,BO,grain,Long,38.72000152587891,2,444.0,37,5.98,1,2003-02-12,38.350006103515625,2.0,-444.0,-37.0,26.0,stop,2003-02-12,-444.0,-37,26.0,LOSE,38.350006103515625,38.350006103515625,0.0,0,0,-0.0,False
60,61,2003-01-30,CME NASDAQ 100 Index Mini,NQ,equity,Long,1256.340087890625,2,1530.0,153,5.98,1,2003-01-31,1218.090087890625,2.0,-1530.0,-153.0,1.0,stop,2003-01-31,-1530.0,-153,1.0,LOSE,1218.090087890625,1218.090087890625,0.0,0,0,-0.0,False
61,62,2003-02-13,CBOT Soybean Oil,BO,grain,Long,38.320001220703126,2,156.0,13,5.98,1,2003-02-25,38.71000335693359,2.0,468.0,39.0,12.0,exit,2003-02-25,468.0,39,12.0,WIN,38.71000335693359,38.19000244140625,-0.0,-52,0,0.0,False
62,63,2003-02-19,NYMEX Gold,GC,metal,Long,714.20078125,2,960.0,48,5.98,1,2003-03-13,709.4007568359375,2.0,-960.0,-48.0,22.0,stop,2003-03-13,-960.0,-48,22.0,LOSE,709.4007568359375,709.4007568359375,0.0,0,0,-0.0,False
63,64,2003-03-14,NYMEX Gold,GC,metal,Long,702.2007934570313,2,760.0,38,5.98,1,2003-03-21,698.4007568359375,2.0,-760.0,-38.0,7.0,stop,2003-03-21,-760.0,-38,7.0,LOSE,698.4007568359375,698.4007568359375,0.0,0,0,-0.0,False
64,65,2003-03-18,CME NASDAQ 100 Index Mini,NQ,equity,Long,1313.590087890625,2,5440.0,544,5.98,0,,,,,,,,,0.0,0,,,1737.1700439453125,1619.1700439453125,-4720.0,-472,2,16940.0,True
65,66,2003-03-19,NYMEX WTI Crude Oil,CL,petroleum,Long,133.879990234375,2,1680.0,84,5.98,1,2003-03-19,133.03997802734375,2.0,-1680.0,-84.0,0.0,stop,2003-03-19,-1680.0,-84,0.0,LOSE,133.03997802734375,133.03997802734375,0.0,0,0,-0.0,False
66,67,2003-03-20,NYMEX WTI Crude Oil,CL,petroleum,Long,132.97996337890626,2,2780.0,139,5.98,1,2003-03-20,131.5899658203125,2.0,-2780.0,-139.0,0.0,stop,2003-03-20,-2780.0,-139,0.0,LOSE,131.5899658203125,131.5899658203125,0.0,0,0,-0.0,False
67,68,2003-03-21,CBOT Soybean Oil,BO,grain,Long,39.92000183105469,2,2076.0,173,5.98,1,2003-06-26,39.77000427246094,2.0,-180.0,-15.0,97.0,stop,2003-06-26,-180.0,-15,97.0,LOSE,39.77000427246094,39.77000427246094,0.0,0,0,-0.0,False
68,69,2003-03-21,NYMEX WTI Crude Oil,CL,petroleum,Long,131.34994750976563,2,2420.0,121,5.98,1,2003-03-21,130.13995361328125,2.0,-2420.0,-121.0,0.0,stop,2003-03-21,-2420.0,-121,0.0,LOSE,130.13995361328125,130.13995361328125,0.0,0,0,-0.0,False
69,70,2003-03-24,NYMEX WTI Crude Oil,CL,petroleum,Long,132.0599658203125,2,3840.0,192,5.98,1,2003-04-29,130.13995361328125,2.0,-3840.0,-192.0,36.0,stop,2003-04-29,-3840.0,-192,36.0,LOSE,130.13995361328125,130.13995361328125,0.0,0,0,-0.0,False
70,71,2003-03-24,NYMEX Gold,GC,metal,Long,696.4008056640625,2,840.0,42,5.98,1,2003-04-03,692.2008056640625,2.0,-840.0,-42.0,10.0,stop,2003-04-03,-840.0,-42,10.0,LOSE,692.2008056640625,692.2008056640625,0.0,0,0,-0.0,False
71,72,2003-04-04,NYMEX Gold,GC,metal,Long,689.8007690429688,2,140.0,7,5.98,1,2003-04-04,689.1007690429688,2.0,-140.0,-7.0,0.0,stop,2003-04-04,-140.0,-7,0.0,LOSE,689.1007690429688,689.1007690429688,0.0,0,0,-0.0,False
72,73,2003-04-07,NYMEX Gold,GC,metal,Long,686.9007690429687,2,260.0,13,5.98,1,2003-04-07,685.6007690429688,2.0,-260.0,-13.0,0.0,stop,2003-04-07,-260.0,-13,0.0,LOSE,685.6007690429688,685.6007690429688,0.0,0,0,-0.0,False
73,74,2003-04-08,NYMEX Gold,GC,metal,Long,687.6008056640625,2,400.0,20,5.98,1,2003-04-09,688.6007690429688,2.0,200.0,10.0,1.0,exit,2003-04-09,200.0,10,1.0,WIN,688.6007690429688,685.6007690429688,-0.0,-30,0,0.0,False
74,75,2003-04-30,NYMEX WTI Crude Oil,CL,petroleum,Long,130.72994995117188,2,1380.0,69,5.98,1,2003-09-04,135.99993896484375,2.0,10540.0,527.0,127.0,stop,2003-09-04,10540.0,527,127.0,WIN,135.99993896484375,135.99993896484375,0.0,0,0,0.0,False
75,76,2003-05-09,NYMEX Gold,GC,metal,Long,713.70078125,2,5620.0,281,5.98,1,2003-06-24,714.6007690429688,2.0,180.0,9.0,46.0,stop,2003-06-24,180.0,9,46.0,WIN,714.6007690429688,714.6007690429688,0.0,0,0,0.0,False
76,77,2003-06-25,NYMEX Gold,GC,metal,Long,712.90078125,2,420.0,21,5.98,1,2003-06-26,710.80078125,2.0,-420.0,-21.0,1.0,stop,2003-06-26,-420.0,-21,1.0,LOSE,710.80078125,710.80078125,0.0,0,0,-0.0,False
77,78,2003-06-27,CBOT Soybean Oil,BO,grain,Long,39.830003051757814,2,336.0,28,5.98,1,2003-07-07,39.55000305175781,2.0,-336.0,-28.0,10.0,stop,2003-07-07,-336.0,-28,10.0,LOSE,39.55000305175781,39.55000305175781,0.0,0,0,-0.0,False
78,79,2003-06-27,NYMEX Gold,GC,metal,Long,709.3007568359375,2,300.0,15,5.98,1,2003-06-27,707.80078125,2.0,-300.0,-15.0,0.0,stop,2003-06-27,-300.0,-15,0.0,LOSE,707.80078125,707.80078125,0.0,0,0,-0.0,False
79,80,2003-06-30,NYMEX Gold,GC,metal,Long,710.8008056640625,2,600.0,30,5.98,1,2003-07-08,707.80078125,2.0,-600.0,-30.0,8.0,stop,2003-07-08,-600.0,-30,8.0,LOSE,707.80078125,707.80078125,0.0,0,0,-0.0,False
80,81,2003-07-08,CBOT Soybean Oil,BO,grain,Long,39.62000183105469,2,192.0,16,5.98,1,2003-07-09,39.46000671386719,2.0,-192.0,-16.0,1.0,stop,2003-07-09,-192.0,-16,1.0,LOSE,39.46000671386719,39.46000671386719,0.0,0,0,-0.0,False
81,82,2003-07-09,NYMEX Gold,GC,metal,Long,710.200732421875,2,620.0,31,5.98,1,2003-07-10,707.1007690429688,2.0,-620.0,-31.0,1.0,stop,2003-07-10,-620.0,-31,1.0,LOSE,707.1007690429688,707.1007690429688,0.0,0,0,-0.0,False
